Latitude,Longitude,test_col,colorcode,RatingValue
52.44578900000000,-1.88440200000000,100 Degrees East<br>2<br>2019-06-18<br>Restaurant/Cafe/Canteen,lightpink,2
52.48513400000000,-1.91132100000000,1000 Trades<br>4<br>2018-10-05<br>Other catering premises,lightgreen,4
52.53425800000000,-1.83115700000000,1580 Contemporary Indian Dining<br>5<br>2018-02-01<br>Takeaway/sandwich shop,black,5
52.44898100000000,-1.93087400000000,19 Gales Farmhouse Foods<br>5<br>2020-03-01<br>Retailers - other,black,5
52.47612200000000,-1.89509900000000,1st United Bakery<br>4<br>2018-08-15<br>Other catering premises,lightgreen,4
52.46400400000000,-1.87711200000000,2 Joy Cafe<br>3<br>2019-01-18<br>Restaurant/Cafe/Canteen,orange,3
52.46703400000000,-1.82087400000000,2 Ms Supermarket<br>5<br>2020-03-01<br>Retailers - supermarkets/hypermarkets,black,5
52.44261000000000,-1.95677600000000,2 M'S Supermarket<br>2<br>2018-01-22<br>Retailers - other,lightpink,2
52.46042920000000,-1.80201360000000,2 Treat U<br>4<br>2019-01-23<br>Takeaway/sandwich shop,lightgreen,4
52.48199500000000,-1.89901600000000,200 Degrees Coffee Shops Ltd<br>5<br>2019-11-06<br>Restaurant/Cafe/Canteen,black,5
52.42055300000000,-1.90362700000000,202 Fd Hospital<br>5<br>2017-04-25<br>Restaurant/Cafe/Canteen,black,5
52.47439100000000,-1.89956400000000,24 7 Convenience Express<br>1<br>2019-03-19<br>Retailers - other,red,1
52.50001500000000,-1.86562500000000,3 Schooners Wines<br>4<br>2020-03-01<br>Retailers - other,lightgreen,4
52.48903274536130,-1.90733599662781,3 Threes Coffee Lounge<br>5<br>2017-11-09<br>Restaurant/Cafe/Canteen,black,5
52.48017700000000,-1.89610500000000,3 Threes Coffee Lounge<br>3<br>2019-03-06<br>Restaurant/Cafe/Canteen,orange,3
52.47813900000000,-1.89867200000000,3-D News & Wine<br>5<br>2020-03-01<br>Retailers - other,black,5
52.52569198608400,-1.90437102317810,5 Flavours Take Away Limited<br>5<br>2019-12-17<br>Takeaway/sandwich shop,black,5
52.50395570000000,-1.93865030000000,5 Star Supermarket<br>2<br>2019-04-15<br>Retailers - supermarkets/hypermarkets,lightpink,2
52.48167900000000,-1.89661800000000,6/8 Kafe<br>2<br>2017-03-30<br>Restaurant/Cafe/Canteen,lightpink,2
52.49325600000000,-1.84520200000000,7 Star Food and Wine (New premises)<br>4<br>2020-03-01<br>Retailers - other,lightgreen,4
52.46963400000000,-1.84078100000000,786 Diner<br>1<br>2020-02-20<br>Takeaway/sandwich shop,red,1
52.52194900000000,-1.84305300000000,99p Store<br>5<br>2020-03-01<br>Retailers - other,black,5
52.58583900000000,-1.82923200000000,99p Stores<br>5<br>2020-03-01<br>Retailers - other,black,5
52.54509200000000,-1.93166800000000,99p Stores<br>4<br>2020-03-01<br>Retailers - other,lightgreen,4
52.55047600000000,-1.85914500000000,99p Stores<br>5<br>2020-03-01<br>Retailers - other,black,5
52.46241900000000,-1.81307800000000,99p Stores Ltd<br>5<br>2020-03-01<br>Retailers - other,black,5
52.46460500000000,-1.77712500000000,9th Kitchen<br>5<br>2020-07-28<br>Takeaway/sandwich shop,black,5
52.46759800000000,-1.85163700000000,A & K Superstore<br>5<br>2020-03-01<br>Retailers - other,black,5
52.45225000000000,-1.87299500000000,A & S Supermarket<br>1<br>2018-01-11<br>Retailers - other,red,1
52.47612200000000,-1.89509900000000,A Barnes Groceries<br>5<br>2018-03-27<br>Retailers - other,black,5
52.49770300000000,-1.86451300000000,A Chef For All Seasons<br>5<br>2016-06-17<br>Hospitals/Childcare/Caring Premises,black,5
52.49287700000000,-1.91587000000000,A D Hockley Catering - Unit 11<br>0<br>2020-01-29<br>Other catering premises,darkred,0
52.42137900000000,-1.89152300000000,A E Franklin<br>5<br>2020-03-01<br>Retailers - other,black,5
52.41756900000000,-1.92986400000000,A E Hughes & Son<br>4<br>2020-03-01<br>Retailers - other,lightgreen,4
52.51291200000000,-1.88007000000000,A J Food Store<br>4<br>2017-05-04<br>Retailers - other,lightgreen,4
52.45225000000000,-1.87299500000000,A K Halal Meat<br>3<br>2017-02-14<br>Retailers - other,orange,3
52.53515200000000,-1.82795400000000,A K Holder Limited<br>2<br>2019-11-27<br>Retailers - other,lightpink,2
52.50535964965820,-1.91069102287292,A K Kebab House<br>5<br>2018-09-06<br>Takeaway/sandwich shop,black,5
52.51814500000000,-1.85627100000000,A Latif Butchers<br>5<br>2020-03-01<br>Retailers - other,black,5
52.47405300000000,-1.85196800000000,A M Mohammedi Stores<br>5<br>2020-03-01<br>Retailers - supermarkets/hypermarkets,black,5
52.48702900000000,-1.80447600000000,A One Newsagent<br>4<br>2020-03-01<br>Retailers - other,lightgreen,4
52.47213900000000,-1.93073500000000,A Taste Of Persia ( Shiraz)<br>3<br>2019-03-28<br>Restaurant/Cafe/Canteen,orange,3
52.51464100000000,-1.90221400000000,A Yah So Nice Blue Marlin Takeaway<br>5<br>2018-11-22<br>Takeaway/sandwich shop,black,5
52.50053300000000,-1.93823300000000,A&A Foods<br>5<br>2018-09-04<br>Retailers - other,black,5
52.49331850000000,-1.82152880000000,A&A Supermarket<br>0<br>2019-09-25<br>Retailers - supermarkets/hypermarkets,darkred,0
52.47612200000000,-1.89509900000000,A&P Doherty<br>5<br>2020-03-01<br>Retailers - other,black,5
52.43857400000000,-1.87057800000000,A&R Newsagents<br>5<br>2020-03-01<br>Retailers - other,black,5
52.54486500000000,-1.86571000000000,A1 Convenience Store<br>2<br>2018-01-04<br>Retailers - other,lightpink,2
52.48784500000000,-1.90563100000000,A1 Garages<br>1<br>2019-09-02<br>Retailers - other,red,1
52.47439100000000,-1.89956400000000,Aadams<br>0<br>2020-09-09<br>Restaurant/Cafe/Canteen,darkred,0
52.44788720000000,-1.82660290000000,Ababeel Restaurant & Hotel<br>3<br>2019-07-16<br>Hotel/bed & breakfast/guest house,orange,3
52.52951000000000,-1.83677700000000,Abbey Rc Jmi School<br>5<br>2018-07-10<br>School/college/university,black,5
52.52605438232420,-1.87139797210693,Abbey Rose Care Home<br>5<br>2020-01-03<br>Hospitals/Childcare/Caring Premises,black,5
52.52621200000000,-1.83132000000000,Abbey Rose Nursing Home<br>5<br>2018-12-05<br>Hospitals/Childcare/Caring Premises,black,5
52.45340650000000,-1.81780510000000,Abbi'S Off Licence<br>5<br>2020-03-01<br>Retailers - other,black,5
52.56483500000000,-1.78788900000000,Abc Day Nursery<br>5<br>2020-03-01<br>Hospitals/Childcare/Caring Premises,black,5
52.47397000000000,-1.85267140000000,Abims Food and Wine<br>4<br>2018-09-17<br>Retailers - other,lightgreen,4
52.47593300000000,-1.90540600000000,AC Hotel Birmingham<br>5<br>2016-06-08<br>Hotel/bed & breakfast/guest house,black,5
52.45730000000000,-1.95760100000000,Accord Housing<br>4<br>2020-03-01<br>Hospitals/Childcare/Caring Premises,lightgreen,4
52.42561700000000,-1.86866000000000,Accord Housing Association Limited<br>5<br>2020-03-01<br>Hospitals/Childcare/Caring Premises,black,5
52.52967900000000,-1.93860500000000,Acfold Post Office<br>5<br>2020-03-01<br>Retailers - other,black,5
52.46587300000000,-1.83839500000000,Acha Chinese Cuisine<br>5<br>2019-01-27<br>Takeaway/sandwich shop,black,5
52.44567300000000,-1.82603700000000,Acocks Green Bowl<br>5<br>2020-01-31<br>Restaurant/Cafe/Canteen,black,5
52.44602300000000,-1.82610900000000,Acocks Green Junior And Infant School<br>5<br>2018-05-16<br>School/college/university,black,5
52.44362700000000,-1.82283800000000,Acocks Green Methodist Church<br>5<br>2016-11-29<br>Hospitals/Childcare/Caring Premises,black,5
52.51846200000000,-1.92801000000000,Acorn Care Home<br>5<br>2019-02-21<br>Hospitals/Childcare/Caring Premises,black,5
52.59997000000000,-1.84868100000000,Acorn Motor Company Ltd<br>5<br>2020-03-01<br>Retailers - other,black,5
52.43510400000000,-1.93828000000000,Acorns Childrens Hospice Trust<br>5<br>2018-11-28<br>Hospitals/Childcare/Caring Premises,black,5
52.48452700000000,-1.90481300000000,Actress & Bishop<br>4<br>2020-03-01<br>Pub/bar/nightclub,lightgreen,4
52.46988000000000,-1.89147800000000,ADAB Catering<br>2<br>2020-01-16<br>Other catering premises,lightpink,2
52.49127800000000,-1.89328100000000,Adam Halal Foods Ltd<br>4<br>2020-03-01<br>Distributors/Transporters,lightgreen,4
52.47981300000000,-1.90143600000000,Adams<br>5<br>2019-12-17<br>Restaurant/Cafe/Canteen,black,5
52.48810500000000,-1.85981500000000,Adderley Childrens Centre.<br>5<br>2019-12-03<br>Hospitals/Childcare/Caring Premises,black,5
52.48382700000000,-1.86105100000000,Adderley Junior & Infant School<br>5<br>2019-11-21<br>School/college/university,black,5
52.48694000000000,-1.86249900000000,Adderley News<br>5<br>2020-03-01<br>Retailers - other,black,5
52.46400400000000,-1.87711200000000,Addis Cafe<br>1<br>2020-08-18<br>Restaurant/Cafe/Canteen,red,1
52.54894100000000,-1.86050700000000,Adecyn Homes Acorn Lodge<br>5<br>2020-03-01<br>Hospitals/Childcare/Caring Premises,black,5
52.45531463623050,-1.87350201606750,Adils<br>5<br>2019-03-10<br>Restaurant/Cafe/Canteen,black,5
52.52276060000000,-1.84039210000000,Admiral Casino<br>5<br>2020-03-09<br>Retailers - other,black,5
52.50241900000000,-1.87752100000000,Advance Enablement<br>5<br>2017-12-13<br>Restaurant/Cafe/Canteen,black,5
52.50548800000000,-1.85650400000000,Adventure Island Mini Golf<br>4<br>2020-03-01<br>Restaurant/Cafe/Canteen,lightgreen,4
52.48622750000000,-1.86379330000000,Afak Trading Ltd<br>5<br>2017-02-20<br>Importers/Exporters,black,5
52.49566430000000,-1.89058170000000,Afia's Food Limited<br>4<br>2020-09-22<br>Manufacturers/packers,lightgreen,4
52.51632200000000,-1.90172400000000,African Conection<br>5<br>2020-03-01<br>Retailers - other,black,5
52.50996400000000,-1.88891900000000,African Continental Market<br>1<br>2019-04-09<br>Retailers - other,red,1
52.47612200000000,-1.89509900000000,African Foods<br>3<br>2016-06-22<br>Retailers - other,orange,3
52.56069183349610,-1.82068598270416,Age UK Birmingham Ltd<br>5<br>2019-11-22<br>Hospitals/Childcare/Caring Premises,black,5
52.52527500000000,-1.82980600000000,Agnes House<br>4<br>2019-04-24<br>Hospitals/Childcare/Caring Premises,lightgreen,4
52.44242550000000,-1.83331210000000,Ah Ya So Nice Authentic Caribbean<br>1<br>2020-02-27<br>Restaurant/Cafe/Canteen,red,1
52.47147100000000,-1.83052800000000,Ahmed Supermarket<br>1<br>2019-10-07<br>Retailers - other,red,1
52.51735200000000,-1.82128900000000,Ahmeds Spice<br>3<br>2019-05-14<br>Takeaway/sandwich shop,orange,3
52.45336600000000,-1.86632600000000,Aj International<br>3<br>2017-02-18<br>Retailers - other,orange,3
52.51483400000000,-1.93352700000000,Ak Kebab House<br>5<br>2018-03-08<br>Takeaway/sandwich shop,black,5
52.50745540000000,-1.90256450000000,AK Superstore<br>4<br>2019-01-22<br>Retailers - other,lightgreen,4
52.46288500000000,-1.88122200000000,Akalya Superstore<br>5<br>2017-07-21<br>Retailers - other,black,5
52.42566400000000,-1.92219000000000,Akash Tandoori Restaurant<br>5<br>2017-10-04<br>Restaurant/Cafe/Canteen,black,5
52.47121800000000,-1.94101200000000,Akbars<br>4<br>2017-02-21<br>Restaurant/Cafe/Canteen,lightgreen,4
52.42425200000000,-1.92141300000000,Akram'S Kashmiri Restaurant<br>5<br>2019-03-23<br>Restaurant/Cafe/Canteen,black,5
52.45285050000000,-1.85112250000000,Al Ameen Primary School<br>5<br>2020-03-01<br>School/college/university,black,5
52.47557480000000,-1.84231600000000,Al- Assala Moroccan Restaurant<br>3<br>2019-10-25<br>Restaurant/Cafe/Canteen,orange,3
52.45766600000000,-1.87642400000000,Al -Bader Restaurant<br>3<br>2019-12-18<br>Restaurant/Cafe/Canteen,orange,3
52.51540400000000,-1.85667800000000,Al Baraka Food Store<br>1<br>2019-01-22<br>Retailers - other,red,1
52.50240340000000,-1.91837630000000,Al Bohair<br>3<br>2019-02-26<br>Other catering premises,orange,3
52.46618000000000,-1.87740000000000,Al Bulushi Cafe<br>3<br>2019-01-18<br>Restaurant/Cafe/Canteen,orange,3
52.45477310000000,-1.87338090000000,Al Faisals<br>2<br>2020-01-07<br>Restaurant/Cafe/Canteen,lightpink,2
52.45033800000000,-1.84483800000000,Al Furqan Primary School<br>5<br>2020-10-21<br>School/college/university,black,5
52.46290700000000,-1.87627600000000,Al Fursan Restaurant<br>1<br>2019-09-25<br>Restaurant/Cafe/Canteen,red,1
52.47374700000000,-1.84474100000000,Al Haj Qurban<br>3<br>2018-06-01<br>Retailers - other,orange,3
52.49124100000000,-1.85852400000000,Al Halal Supermarket<br>5<br>2020-03-01<br>Retailers - supermarkets/hypermarkets,black,5
52.44496200000000,-1.85964300000000,Al Halal Supermarket<br>3<br>2017-02-03<br>Retailers - supermarkets/hypermarkets,orange,3
52.45202255249020,-1.81848800182343,Al Madinah Halal Meat Limited<br>2<br>2020-02-18<br>Retailers - other,lightpink,2
52.45377400000000,-1.87765600000000,Al Madinah Mini Market<br>5<br>2017-10-01<br>Retailers - other,black,5
52.45090300000000,-1.86656900000000,Al Mustafa<br>1<br>2018-02-12<br>Restaurant/Cafe/Canteen,red,1
52.47081100000000,-1.86187200000000,Al Qasabah Restaurant<br>5<br>2019-03-27<br>Restaurant/Cafe/Canteen,black,5
52.47013100000000,-1.84977400000000,Al Risaalah<br>5<br>2020-03-01<br>School/college/university,black,5
52.44724700000000,-1.86084200000000,Al Shazan (Kebab House)<br>0<br>2020-01-15<br>Takeaway/sandwich shop,darkred,0
52.46527470000000,-1.87698860000000,Al Uruba Cafe & Restaurant<br>4<br>2020-07-30<br>Restaurant/Cafe/Canteen,lightgreen,4
52.47203200000000,-1.86351280000000,Alam Restaurant<br>4<br>2019-11-19<br>Restaurant/Cafe/Canteen,lightgreen,4
52.47341300000000,-1.84995400000000,Alamgeer Food Store<br>2<br>2019-08-14<br>Retailers - other,lightpink,2
52.47027000000000,-1.86075400000000,Albaraka Butcher and Grocery Store<br>4<br>2020-01-31<br>Retailers - other,lightgreen,4
52.47812100000000,-1.84784700000000,Albela<br>2<br>2018-11-07<br>Other catering premises,lightpink,2
52.39450900000000,-1.97348700000000,Albert Bradbeer Primary Academy<br>5<br>2018-03-09<br>School/college/university,black,5
52.49351800000000,-1.86839900000000,Albion Vaults<br>4<br>2018-02-13<br>Pub/bar/nightclub,lightgreen,4
52.41045200000000,-1.88700800000000,Alcester News<br>1<br>2018-05-15<br>Retailers - other,red,1
52.48574000000000,-1.78688400000000,Alcoa Europe Limited<br>4<br>2020-03-01<br>Retailers - other,lightgreen,4
52.47715500000000,-1.80784800000000,Alcombe House Ltd<br>5<br>2018-02-02<br>Hotel/bed & breakfast/guest house,black,5
52.48266800000000,-1.83353300000000,Alderman Bowen Adult Training Centre<br>5<br>2019-04-05<br>Hospitals/Childcare/Caring Premises,black,5
52.56143300000000,-1.82419300000000,Aldi<br>5<br>2020-03-01<br>Retailers - supermarkets/hypermarkets,black,5
52.42729100000000,-1.84122700000000,Aldi<br>5<br>2017-12-14<br>Retailers - other,black,5
52.46134800000000,-1.87305800000000,Aldi<br>5<br>2020-03-01<br>Retailers - supermarkets/hypermarkets,black,5
52.54741900000000,-1.85866700000000,Aldi<br>5<br>2018-08-15<br>Retailers - supermarkets/hypermarkets,black,5
52.40562300000000,-1.88650500000000,Aldi<br>5<br>2020-03-01<br>Retailers - supermarkets/hypermarkets,black,5
52.45498700000000,-1.79284500000000,Aldi<br>5<br>2020-03-01<br>Retailers - supermarkets/hypermarkets,black,5
52.49759200000000,-1.89691900000000,Aldi Foodstore Ltd<br>5<br>2020-03-01<br>Retailers - supermarkets/hypermarkets,black,5
52.47937200000000,-1.82291500000000,Aldi Foodstore Ltd<br>5<br>2020-03-01<br>Retailers - supermarkets/hypermarkets,black,5
52.53677500000000,-1.87422700000000,Aldi Foodstore Ltd<br>5<br>2020-03-01<br>Retailers - supermarkets/hypermarkets,black,5
52.44411100000000,-1.93592800000000,Aldi Foodstore Ltd<br>5<br>2020-03-01<br>Retailers - supermarkets/hypermarkets,black,5
52.49145400000000,-1.81682800000000,Aldi Foodstore Ltd<br>5<br>2020-03-01<br>Retailers - other,black,5
52.44447708129880,-1.81693005561829,Aldi Foodstore Ltd<br>5<br>2020-03-01<br>Retailers - supermarkets/hypermarkets,black,5
52.41371100000000,-1.97205000000000,Aldi Store Limited<br>5<br>2020-03-01<br>Retailers - supermarkets/hypermarkets,black,5
52.42391204833980,-1.84815096855164,Alfresco Fusion Ltd<br>5<br>2019-03-25<br>Restaurant/Cafe/Canteen,black,5
52.49313400000000,-1.82857500000000,Al-Furqan Supermarket<br>5<br>2020-03-01<br>Retailers - other,black,5
52.47392800000000,-1.83855700000000,Al-Haj Qurban Ali And Sons Foodstore<br>3<br>2017-01-23<br>Retailers - other,orange,3
52.44471200000000,-1.93464700000000,Ali Baba Lounge<br>4<br>2020-03-01<br>Restaurant/Cafe/Canteen,lightgreen,4
52.50388290000000,-1.87585300000000,Ali Baba's Kebab House<br>3<br>2020-01-06<br>Takeaway/sandwich shop,orange,3
52.45364379882810,-1.86588394641876,Ali Fish Bar<br>1<br>2020-02-04<br>Takeaway/sandwich shop,red,1
52.49034500000000,-1.82674500000000,Ali Foodstore<br>4<br>2020-03-01<br>Retailers - other,lightgreen,4
52.46884400000000,-1.85575400000000,Ali Meat Products<br>5<br>2020-03-01<br>Retailers - other,black,5
52.42777360000000,-1.92257780000000,Alicias Micro Bakehouse<br>5<br>2018-03-06<br>Restaurant/Cafe/Canteen,black,5
52.43094500000000,-1.89245600000000,Ali'S Food Store<br>5<br>2020-03-01<br>Retailers - other,black,5
52.51518100000000,-1.90296400000000,Alisha Polski Skelp<br>1<br>2019-05-20<br>Retailers - other,red,1
52.53755300000000,-1.87942900000000,Alishaan<br>5<br>2017-11-13<br>Restaurant/Cafe/Canteen,black,5
52.48820800000000,-1.84860800000000,Alishan Butcher<br>4<br>2020-03-01<br>Retailers - other,lightgreen,4
52.48208900000000,-1.90277200000000,All Bar One<br>5<br>2018-02-07<br>Pub/bar/nightclub,black,5
52.47810500000000,-1.91248300000000,All Bar One<br>5<br>2019-02-13<br>Pub/bar/nightclub,black,5
52.47813800000000,-1.89867200000000,All Bar One<br>5<br>2018-03-01<br>Pub/bar/nightclub,black,5
52.47863500000000,-1.90037900000000,All Greek Street Food<br>4<br>2017-06-27<br>Takeaway/sandwich shop,lightgreen,4
52.44031260000000,-1.82564820000000,All In One<br>5<br>2020-03-01<br>Retailers - other,black,5
52.47024000000000,-1.86605400000000,All Saints Church<br>5<br>2020-03-01<br>Restaurant/Cafe/Canteen,black,5
52.58647200000000,-1.83805600000000,All Saints Church Centre<br>5<br>2018-03-06<br>Other catering premises,black,5
52.43283140000000,-1.89463790000000,All Saints Community Cafe<br>5<br>2019-03-20<br>Other catering premises,black,5
52.43313040000000,-1.89360020000000,All Saints Youth Project<br>4<br>2019-03-20<br>Other catering premises,lightgreen,4
52.47612200000000,-1.89509900000000,All Seasons Fish Mongers<br>1<br>2020-03-09<br>Retailers - other,red,1
52.45549700000000,-1.77215200000000,All U Need Is Cake<br>5<br>2020-03-01<br>Other catering premises,black,5
52.50341000000000,-1.89944000000000,Alla-Amin Mini Market<br>3<br>2019-01-18<br>Retailers - other,orange,3
52.41538040000000,-1.97039710000000,Allegro Lounge<br>4<br>2018-12-06<br>Restaurant/Cafe/Canteen,lightgreen,4
52.42118200000000,-1.91458100000000,Allens Croft Primary School<br>5<br>2018-02-08<br>School/college/university,black,5
52.41267900000000,-1.98137200000000,Allens Cross Community Centre<br>5<br>2020-10-01<br>Other catering premises,black,5
52.54729900000000,-1.81134600000000,Alliance In Partnership<br>4<br>2019-03-29<br>School/college/university,lightgreen,4
52.45907800000000,-1.95296300000000,Alliance in Partnership<br>5<br>2019-07-18<br>School/college/university,black,5
52.46751403808590,-1.77918601036072,Alliance in Partnership<br>5<br>2018-03-05<br>School/college/university,black,5
52.53805300000000,-1.79776300000000,Alliance In Partnership<br>5<br>2019-04-03<br>School/college/university,black,5
52.45336600000000,-1.86632600000000,Alliance Pharmacy Ltd<br>5<br>2020-03-01<br>Retailers - other,black,5
52.53542800000000,-1.90507200000000,Allsorts<br>5<br>2020-03-01<br>Retailers - other,black,5
52.46716400000000,-1.85690800000000,Al-Mirage Banqueting Suites<br>4<br>2020-03-01<br>Restaurant/Cafe/Canteen,lightgreen,4
52.39013900000000,-1.96903800000000,Alphabets @ Cofton<br>5<br>2020-03-01<br>Hospitals/Childcare/Caring Premises,black,5
52.40489400000000,-2.01662400000000,Alphabets @ Frankley Plus<br>5<br>2018-08-15<br>Hospitals/Childcare/Caring Premises,black,5
52.40398700000000,-1.99883800000000,Alphabets @ Hollymoor<br>5<br>2019-06-26<br>Hospitals/Childcare/Caring Premises,black,5
